gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 31007, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 31008, 631 MiB
